:Data_list: 20081029_ace_epam_5m.txt
:Created: 2008 Oct 30 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Differential Flux particles/cm2-s-ster-MeV
# Units: Anisotropy Index 0.0 - 2.0
# Status(S): 0 = nominal, 4,6,7,8 = bad data, unable to process, 9 = no data
# Missing data values: -1.00e+05, index = -1.00
# Source: ACE Satellite - Electron, Proton, and Alpha Monitor
#
#
#                      5-minute averaged Real-time Differential Electron and Proton Flux 
# 
#                Modified Seconds ---------------------------- Differential Flux ---------------------------
# UT Date   Time  Julian  of the  ----- Electron -----   ------------------- Protons keV -------------------   Anis.
# YR MO DA  HHMM    Day    Day    S    38-53   175-315   S    47-68   115-195   310-580   761-1220 1060-1900   Index
#-------------------------------------------------------------------------------------------------------------------
2008 10 29  0000   54768       0  0  6.64e+02  2.47e+01  0  1.26e+03  3.33e+01  3.80e+00  6.03e-01  2.74e-01   0.26
2008 10 29  0005   54768     300  0  6.90e+02  2.57e+01  0  1.37e+03  4.45e+01  5.02e+00  9.67e-01  2.67e-01   0.20
2008 10 29  0010   54768     600  0  5.74e+02  2.34e+01  0  1.34e+03  4.31e+01  5.74e+00  9.98e-01  3.69e-01   0.17
2008 10 29  0015   54768     900  0  5.45e+02  3.07e+01  0  1.24e+03  4.63e+01  4.49e+00  8.44e-01  2.85e-01   0.50
2008 10 29  0020   54768    1200  0  7.00e+02  2.59e+01  0  1.36e+03  4.12e+01  5.67e+00  8.31e-01  4.00e-01   0.20
2008 10 29  0025   54768    1500  0  5.83e+02  2.38e+01  0  1.40e+03  4.85e+01  6.49e+00  1.21e+00  3.37e-01   0.30
2008 10 29  0030   54768    1800  0  6.21e+02  3.34e+01  0  1.34e+03  4.46e+01  5.41e+00  1.04e+00  3.21e-01   0.60
2008 10 29  0035   54768    2100  0  8.59e+02  2.44e+01  0  1.35e+03  4.62e+01  5.51e+00  1.08e+00  3.06e-01   0.13
2008 10 29  0040   54768    2400  0  6.24e+02  2.44e+01  0  1.30e+03  4.47e+01  6.10e+00  1.16e+00  3.90e-01   0.19
2008 10 29  0045   54768    2700  0  5.51e+02  2.57e+01  0  1.28e+03  4.20e+01  5.63e+00  1.14e+00  2.67e-01   0.12
