:Data_list: 20071205_ace_epam_5m.txt
:Created: 2007 Dec 06 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Differential Flux particles/cm2-s-ster-MeV
# Units: Anisotropy Index 0.0 - 2.0
# Status(S): 0 = nominal, 4,6,7,8 = bad data, unable to process, 9 = no data
# Missing data values: -1.00e+05, index = -1.00
# Source: ACE Satellite - Electron, Proton, and Alpha Monitor
#
#
#                      5-minute averaged Real-time Differential Electron and Proton Flux 
# 
#                Modified Seconds ---------------------------- Differential Flux ---------------------------
# UT Date   Time  Julian  of the  ----- Electron -----   ------------------- Protons keV -------------------   Anis.
# YR MO DA  HHMM    Day    Day    S    38-53   175-315   S    47-68   115-195   310-580   761-1220 1060-1900   Index
#-------------------------------------------------------------------------------------------------------------------
2007 12 05  0000   54439       0  0  5.31e+02  2.80e+01  0  1.49e+03  1.73e+01  2.64e+00  5.53e-01  1.64e-01   0.60
2007 12 05  0005   54439     300  0  4.40e+02  2.32e+01  0  1.34e+03  1.85e+01  2.33e+00  5.20e-01  1.69e-01   0.27
2007 12 05  0010   54439     600  0  5.95e+02  2.67e+01  0  1.43e+03  1.86e+01  2.41e+00  4.93e-01  1.25e-01   0.39
2007 12 05  0015   54439     900  0  5.54e+02  2.38e+01  0  1.49e+03  1.81e+01  2.46e+00  6.86e-01  2.11e-01   0.42
2007 12 05  0020   54439    1200  0  4.80e+02  2.84e+01  0  1.41e+03  1.89e+01  2.43e+00  6.44e-01  1.90e-01   0.32
2007 12 05  0025   54439    1500  0  6.00e+02  2.40e+01  0  1.48e+03  1.92e+01  2.19e+00  6.16e-01  1.25e-01   0.49
2007 12 05  0030   54439    1800  0  4.88e+02  2.38e+01  0  1.47e+03  1.71e+01  2.59e+00  7.28e-01  1.51e-01   0.15
2007 12 05  0035   54439    2100  0  4.74e+02  2.32e+01  0  1.44e+03  1.80e+01  1.74e+00  4.57e-01  1.79e-01   0.34
2007 12 05  0040   54439    2400  0  5.80e+02  2.78e+01  0  1.37e+03  2.07e+01  2.16e+00  5.80e-01  1.52e-01   0.58
2007 12 05  0045   54439    2700  0  6.40e+02  2.80e+01  0  1.50e+03  2.12e+01  1.93e+00  7.90e-01  2.00e-01   0.20
2007 12 05  0050   54439    3000  0  5.40e+02  2.42e+01  0  1.48e+03  1.73e+01  2.69e+00  5.28e-01  1.52e-01   0.69
2007 12 05  0055   54439    3300  0  5.50e+02  3.11e+01  0  1.41e+03  1.89e+01  2.00e+00  5.20e-01  1.48e-01   0.39
2007 12 05  0100   54439    3600  0  5.79e+02  1.93e+01  0  1.46e+03  1.62e+01  1.97e+00  5.40e-01  1.48e-01   0.22
2007 12 05  0105   54439    3900  0  5.56e+02  2.49e+01  0  1.44e+03  1.94e+01  2.61e+00  7.56e-01  1.07e-01   0.40
2007 12 05  0110   54439    4200  0  4.85e+02  2.13e+01  0  1.43e+03  1.94e+01  2.03e+00  6.24e-01  1.58e-01   0.16
2007 12 05  0115   54439    4500  0  4.98e+02  2.44e+01  0  1.40e+03  1.65e+01  2.26e+00  3.95e-01  1.48e-01   0.63
2007 12 05  0120   54439    4800  0  6.45e+02  2.83e+01  0  1.50e+03  1.96e+01  2.33e+00  4.75e-01  1.60e-01   0.26
2007 12 05  0125   54439    5100  0  4.78e+02  2.57e+01  0  1.49e+03  2.08e+01  1.93e+00  3.95e-01  1.05e-01   0.62
2007 12 05  0130   54439    5400  0  4.71e+02  2.67e+01  0  1.34e+03  1.76e+01  2.10e+00  4.38e-01  1.45e-01   0.53
2007 12 05  0135   54439    5700  0  5.77e+02  2.82e+01  0  1.50e+03  1.73e+01  2.19e+00  4.57e-01  1.84e-01   0.80
2007 12 05  0140   54439    6000  0  4.56e+02  2.36e+01  0  1.54e+03  1.85e+01  2.46e+00  5.20e-01  9.48e-02   0.48
2007 12 05  0145   54439    6300  0  5.27e+02  2.82e+01  0  1.44e+03  1.96e+01  2.10e+00  6.48e-01  1.93e-01   0.41
2007 12 05  0150   54439    6600  0  5.84e+02  2.78e+01  0  1.46e+03  1.59e+01  2.01e+00  7.62e-01  2.51e-01   0.37
2007 12 05  0155   54439    6900  0  4.80e+02  2.63e+01  0  1.43e+03  1.76e+01  2.29e+00  6.03e-01  8.43e-02   0.71
2007 12 05  0200   54439    7200  0  4.82e+02  2.62e+01  0  1.50e+03  1.91e+01  2.34e+00  5.91e-01  2.03e-01   0.43
2007 12 05  0205   54439    7500  0  4.74e+02  2.68e+01  0  1.36e+03  1.68e+01  2.22e+00  6.29e-01  1.26e-01   0.48
2007 12 05  0210   54439    7800  0  6.13e+02  2.39e+01  0  1.55e+03  1.96e+01  2.01e+00  6.29e-01  9.48e-02   0.27
2007 12 05  0215   54439    8100  0  5.75e+02  2.98e+01  0  1.48e+03  1.79e+01  2.72e+00  4.37e-01  8.11e-02   0.48
2007 12 05  0220   54439    8400  0  4.56e+02  2.09e+01  0  1.38e+03  1.93e+01  2.22e+00  5.33e-01  1.93e-01   0.16
2007 12 05  0225   54439    8700  0  6.73e+02  2.73e+01  0  1.48e+03  1.88e+01  1.86e+00  5.53e-01  1.64e-01   0.45
2007 12 05  0230   54439    9000  0  5.21e+02  2.67e+01  0  1.50e+03  1.89e+01  2.26e+00  4.37e-01  1.69e-01   0.78
2007 12 05  0235   54439    9300  0  5.08e+02  2.83e+01  0  1.44e+03  1.73e+01  2.13e+00  7.43e-01  1.45e-01   0.40
2007 12 05  0240   54439    9600  0  7.20e+02  2.59e+01  0  1.39e+03  2.07e+01  2.19e+00  7.05e-01  1.84e-01   0.06
2007 12 05  0245   54439    9900  0  6.66e+02  2.82e+01  0  1.47e+03  1.77e+01  2.56e+00  5.82e-01  1.79e-01   0.19
2007 12 05  0250   54439   10200  0  4.87e+02  2.71e+01  0  1.46e+03  1.79e+01  2.33e+00  4.22e-01  1.69e-01   0.37
