:Data_list: 20041014_ace_epam_5m.txt
:Created: 2004 Oct 15 0012 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to SEC.Webmaster@noaa.gov 
# 
# Units: Differential Flux particles/cm2-s-ster-MeV
# Units: Anisotropy Index 0.0 - 2.0
# Status(S): 0 = nominal, 4,6,7,8 = bad data, unable to process, 9 = no data
# Missing data values: -1.00e+05, index = -1.00
# Source: ACE Satellite - Electron, Proton, and Alpha Monitor
# 2004 Feb 04: see http://www.sec.noaa.gov/ftpdir/lists/ace/README for EPAM channel change notice.
#
#                      5-minute averaged Real-time Differential Electron and Proton Flux 
# 
#                Modified Seconds ---------------------------- Differential Flux --------------------------- 
# UT Date   Time  Julian  of the  ----- Electron -----   ------------------- Protons keV -------------------   Anis.
# YR MO DA  HHMM    Day    Day    S    38-53   175-315   S    47-68   115-195   310-580   761-1220 1060-1900   Ratio
#-------------------------------------------------------------------------------------------------------------------
2004 10 14  0000   53292       0  0  2.43e+02  1.65e+01  0  7.63e+02  1.38e+01  1.61e+00  2.81e-01  7.13e-02   0.43
2004 10 14  0005   53292     300  0  2.42e+02  1.47e+01  0  7.35e+02  1.22e+01  1.64e+00  3.74e-01  8.11e-02   0.71
2004 10 14  0010   53292     600  0  2.51e+02  1.77e+01  0  6.63e+02  1.29e+01  1.28e+00  4.05e-01  1.25e-01   0.43
2004 10 14  0015   53292     900  0  3.66e+02  1.70e+01  0  7.38e+02  1.23e+01  1.05e+00  1.78e-01  8.11e-02   0.92
2004 10 14  0020   53292    1200  0  2.06e+02  1.82e+01  0  7.24e+02  1.14e+01  9.51e-01  4.37e-01  8.43e-02   0.56
2004 10 14  0025   53292    1500  0  2.81e+02  1.41e+01  0  7.06e+02  1.27e+01  1.66e+00  3.69e-01  8.92e-02   0.23
2004 10 14  0030   53292    1800  0  2.68e+02  1.97e+01  0  7.69e+02  1.36e+01  1.67e+00  3.74e-01  8.11e-02   0.68
2004 10 14  0035   53292    2100  0  2.31e+02  1.62e+01  0  7.51e+02  1.28e+01  1.25e+00  4.37e-01  1.05e-01   0.52
2004 10 14  0040   53292    2400  0  2.41e+02  1.49e+01  0  7.75e+02  1.25e+01  1.39e+00  3.87e-01  8.91e-02   0.15
2004 10 14  0045   53292    2700  0  2.38e+02  1.68e+01  0  6.81e+02  1.19e+01  1.54e+00  2.91e-01  1.05e-01   0.47
2004 10 14  0050   53292    3000  0  2.65e+02  1.82e+01  0  7.71e+02  1.05e+01  1.47e+00  2.67e-01  7.73e-02   0.37
2004 10 14  0055   53292    3300  0  3.37e+02  1.77e+01  0  7.77e+02  1.32e+01  1.38e+00  2.67e-01  8.69e-02   0.62
2004 10 14  0100   53292    3600  0  2.26e+02  1.76e+01  0  6.83e+02  1.18e+01  1.57e+00  4.57e-01  9.48e-02   0.29
2004 10 14  0105   53292    3900  0  2.71e+02  2.02e+01  0  7.32e+02  1.03e+01  1.59e+00  2.67e-01  1.06e-01   0.83
2004 10 14  0110   53292    4200  0  2.36e+02  1.68e+01  0  7.54e+02  1.10e+01  1.20e+00  3.24e-01  6.76e-02   0.88
2004 10 14  0115   53292    4500  0  3.00e+02  1.39e+01  0  7.42e+02  1.25e+01  1.28e+00  2.74e-01  9.48e-02   0.59
2004 10 14  0120   53292    4800  0  2.93e+02  1.90e+01  0  7.38e+02  1.12e+01  1.44e+00  4.19e-01  7.73e-02   0.25
2004 10 14  0125   53292    5100  0  2.71e+02  1.81e+01  0  7.68e+02  1.42e+01  1.17e+00  4.00e-01  7.73e-02   0.06
2004 10 14  0130   53292    5400  0  1.98e+02  1.61e+01  0  7.37e+02  1.28e+01  1.08e+00  2.29e-01  8.43e-02   0.35
2004 10 14  0135   53292    5700  0  2.70e+02  1.87e+01  0  7.04e+02  1.19e+01  1.48e+00  4.16e-01  1.58e-01   0.66
2004 10 14  0140   53292    6000  0  2.76e+02  1.75e+01  0  7.90e+02  1.35e+01  1.59e+00  4.76e-01  8.69e-02   0.37
2004 10 14  0145   53292    6300  0  2.83e+02  1.38e+01  0  7.52e+02  1.24e+01  1.62e+00  4.76e-01  8.69e-02   0.39
2004 10 14  0150   53292    6600  0  2.20e+02  1.93e+01  0  7.37e+02  9.62e+00  1.80e+00  3.53e-01  1.26e-01   0.19
2004 10 14  0155   53292    6900  0  2.98e+02  1.52e+01  0  7.65e+02  1.26e+01  1.29e+00  2.67e-01  7.73e-02   0.82
2004 10 14  0200   53292    7200  0  2.18e+02  1.63e+01  0  7.36e+02  1.11e+01  1.77e+00  3.53e-01  5.80e-02   0.31
2004 10 14  0205   53292    7500  0  2.14e+02  1.80e+01  0  7.80e+02  1.11e+01  1.28e+00  2.52e-01  7.38e-02   0.29
2004 10 14  0210   53292    7800  0  2.32e+02  1.95e+01  0  6.88e+02  1.24e+01  1.83e+00  4.05e-01  8.02e-02   0.51
2004 10 14  0215   53292    8100  0  2.96e+02  1.74e+01  0  7.70e+02  1.24e+01  1.57e+00  4.78e-01  8.43e-02   0.15
2004 10 14  0220   53292    8400  0  2.36e+02  1.86e+01  0  7.54e+02  1.21e+01  1.11e+00  3.53e-01  1.47e-01   0.43
